% >= HS,% >= Bachelor's,"Pov for 25yo<=, <HS","Pov for 25<=, >=Bachelor's",HFR,SNAP_rate,DPI_rate,PI_rate
89.7,41.2,26.6,4.3,0.1,0.13731536368685807,0.13107550358210923,0.15552626252483
89.9,27.4,29.3,4.6,0.347,0.16748301115065195,0.09454885992550932,0.10620919038203462
92.6,34.3,25.6,3.6,0.353,0.10041400623240239,0.10991708133825225,0.12689781818950355
82.8,21.1,33.6,5.3,0.488,0.18452158788417472,0.08683254503692658,0.09439727036209315
88.9,27.5,29.3,4.3,0.497,0.13288636148409488,0.0950908545024246,0.1064985313033881
92.6,29.3,24.1,5.5,0.64,0.11606182566757997,0.09304607238625469,0.10439262024226084
90.3,29.5,24.6,3.6,0.365,0.0996550862959238,0.11009766930133039,0.12296004805842609
85.1,23.1,22.2,6.3,0.344,0.13097064273890158,0.10173359477405707,0.11308071607087093
92.2,35.0,18.7,3.2,0.381,0.08655792333325638,0.12036147730858325,0.13396766944489338
89.1,37.4,23.4,3.7,0.097,0.09897134257572514,0.13755710763968443,0.15943113341371284
84.2,26.4,35.8,6.7,0.356,0.15984024517818,0.09239679544128392,0.10154340295117989
85.7,34.5,29.6,5.4,0.126,0.16375581230248606,0.12435125078305251,0.1496760819718999
86.4,28.7,30.9,4.5,0.334,0.14834011322686,0.09268481145564579,0.10391073228126269
92.2,27.4,21.9,4.2,0.57,0.09100582455611905,0.12211890738006294,0.13810418719776318
89.4,26.6,29.8,4.0,0.366,0.15538346920167587,0.0954383158305415,0.1072190634271915
87.3,24.2,28.4,4.4,0.493,0.14458962061545777,0.11036438206580675,0.12168837458786005
89.7,30.8,26.5,6.3,0.462,0.1966244461941334,0.09397855176550347,0.10756803435468713
89.4,29.0,26.0,3.9,0.361,0.13850098625709972,0.10919206578605783,0.12362012967319669
85.8,30.4,26.4,3.9,0.1,0.18004950519218657,0.10814736338471002,0.12216431427497351
86.1,26.3,31.3,4.4,0.42,0.14650826475685227,0.0895748787299238,0.09898533811662728
91.7,27.8,31.4,3.7,0.5,0.120535167052844,0.10780118095522835,0.11841572613797742
85.8,25.3,32.0,4.6,0.427,0.18120705353104896,0.09642035889252151,0.1051359444387996
82.2,27.8,28.5,4.5,0.385,0.13540932676108958,0.12184333263592442,0.13556245490960256
91.4,31.1,20.7,4.5,0.349,0.08719797031697464,0.10776604200921198,0.12092773065322256
92.0,34.9,24.5,4.4,0.437,0.15158088706949838,0.1037371369480113,0.11555656632805787
88.5,36.7,23.1,3.4,0.362,0.10461732526541756,0.11762252660661128,0.13447934704360176
90.4,33.1,23.7,4.9,0.335,0.14875125065261582,0.11874215601501864,0.13258563495087514
85.2,19.2,30.3,5.5,0.547,0.16998538160802312,0.08252836987931328,0.09132320244773075
91.4,28.4,24.2,3.9,0.434,0.13715606766088093,0.09815997417325155,0.11057198014460379
92.6,26.6,20.1,3.4,0.608,0.07425385005632132,0.1250681444921193,0.14050061480519704
84.9,24.2,31.0,4.4,0.495,0.1581843489187008,0.09181185989958784,0.10153580771126361
92.6,29.7,19.8,2.8,0.551,0.13438055838679377,0.15218858045046665,0.167550412694606
86.1,27.7,30.7,5.2,0.36,0.1368054833764243,0.09725644415284075,0.10859652100196182
85.4,21.8,30.2,4.4,0.462,0.1414687117518431,0.091918756874294,0.10189234735463625
82.2,32.3,24.7,5.2,0.151,0.10787170361366392,0.13854799460033557,0.16260790547284013
