House Leaning,Senate Leaning,Average Leaning,LocYear,Geography,% >= HS,% >= Bachelor's,"Pov for 25yo<=, <HS","Pov for 25<=, >=Bachelor's",GeoFIPS,HFR,SNAP_rate,DPI_rate,PI_rate
0.18,-0.1842105263157895,-0.002105263157894749,KY2012,0400000US21,0.838,0.218,0.327,0.043,21000,0.514,0.1878536898566142,0.0830319085368282,0.0917191172369836
-0.02857142857142858,-0.025641025641025605,-0.027106227106227093,LA2012,0400000US22,0.83,0.22,0.322,0.05,22000,0.551,0.1791391897401122,0.0993138595371954,0.1088651581036748
-0.039735099337748325,-0.17142857142857137,-0.10558183538315985,ME2012,0400000US23,0.916,0.28,0.2689999999999999,0.044,23000,0.46,0.1866726295345897,0.086914450277075,0.0959840805852747
0.3900709219858156,0.48936170212765956,0.43971631205673756,MD2012,0400000US24,0.8909999999999999,0.369,0.207,0.03,24000,0.213,0.1180474547867028,0.1260404863102992,0.1438652056780384
0.5874999999999999,0.775,0.6812499999999999,MA2012,0400000US25,0.897,0.3929999999999999,0.256,0.042,25000,0.111,0.1366154534144943,0.1291624940433572,0.1492991182186446
-0.14545454545454545,-0.368421052631579,-0.25693779904306224,MI2012,0400000US26,0.892,0.26,0.303,0.045,26000,0.391,0.1851446478564927,0.0911883737079308,0.1014224412867223
-0.07462686567164178,-0.10447761194029853,-0.08955223880597016,MN2012,0400000US27,0.925,0.332,0.265,0.031,27000,0.382,0.0990026719471122,0.1064292928360282,0.1209444099580339
0.180327868852459,-0.03846153846153849,0.07093316519546025,MS2012,0400000US28,0.823,0.207,0.361,0.054,28000,0.568,0.1982437752230356,0.0845712278809853,0.0914542681892416
-0.3067484662576687,-0.5294117647058822,-0.4180801154817755,MO2012,0400000US29,0.88,0.264,0.288,0.044,29000,0.511,0.1521125327715455,0.092226176119637,0.1021424378002954
-0.36000000000000004,-0.12000000000000005,-0.24000000000000005,MT2012,0400000US30,0.928,0.294,0.264,0.05,30000,0.658,0.1248795660955939,0.0892333312140226,0.098882715717297
0.23809523809523814,0.04761904761904767,0.1428571428571429,NV2012,0400000US32,0.8490000000000001,0.2239999999999999,0.248,0.059,32000,0.377,0.1341698084154161,0.0981218054748386,0.1079828731230224
-0.475,-0.5833333333333333,-0.5291666666666666,NH2012,0400000US33,0.918,0.346,0.183,0.032,33000,0.394,0.091338124618357,0.1182450875202499,0.1296730920739612
0.22499999999999998,0.19999999999999996,0.21249999999999997,NJ2012,0400000US34,0.883,0.362,0.2189999999999999,0.035,34000,0.07,0.1015484248932177,0.1328711181915462,0.1514943577261341
0.042857142857142816,0.28571428571428575,0.16428571428571428,NM2012,0400000US35,0.8440000000000001,0.261,0.3379999999999999,0.0559999999999999,35000,0.403,0.17085579532442,0.0896390307923178,0.0975309674821829
0.32,-0.032258064516129004,0.1438709677419355,NY2012,0400000US36,0.853,0.3339999999999999,0.29,0.052,36000,0.154,0.1625398091041732,0.1226594374134712,0.1436390114439691
-0.125,-0.24,-0.1825,NC2012,0400000US37,0.852,0.2739999999999999,0.309,0.0409999999999999,37000,0.379,0.1583394638633729,0.0914016870682666,0.1012689058176385
-0.46808510638297873,-0.48936170212765956,-0.4787234042553191,ND2012,0400000US38,0.917,0.2789999999999999,0.222,0.034,38000,0.561,0.0813352397712274,0.1215244170699516,0.1358976297844258
-0.19191919191919188,-0.393939393939394,-0.29292929292929293,OH2012,0400000US39,0.888,0.252,0.284,0.04,39000,0.362,0.1631324934045744,0.091578625200673,0.1023481163956482
-0.3762376237623763,-0.33333333333333337,-0.3547854785478548,OK2012,0400000US40,0.867,0.238,0.2769999999999999,0.048,40000,0.563,0.1498292281499474,0.1005117279926894,0.1105129238449484
0.0,0.06666666666666665,0.033333333333333326,OR2012,0400000US41,0.899,0.299,0.293,0.0559999999999999,41000,0.476,0.2076921099279676,0.0892741191741097,0.100597116464079
-0.10344827586206895,-0.19999999999999996,-0.15172413793103445,PA2012,0400000US42,0.889,0.278,0.248,0.039,42000,0.38,0.139941136477817,0.1054465195273573,0.117961058430103
0.7333333333333334,0.5526315789473685,0.642982456140351,RI2012,0400000US44,0.861,0.314,0.233,0.036,44000,0.109,0.1615994848492918,0.1047685332003495,0.116650890983168
